# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSB:10Tu5WhK3z61r6m	ENSB:10Tu5WhK3z61r6m	ENSB:10Tu5WhK3z61r6m	protein_coding	0	0	1	31	0	0	0	0	2	0	1	0	0	0	0	0	0	0	29
ENSB:11XxiYf-2wOUfdd	ENSB:11XxiYf-2wOUfdd	ENSB:11XxiYf-2wOUfdd	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ENSB:12cvLWnQ3B5RyNR	ENSB:12cvLWnQ3B5RyNR	ENSB:12cvLWnQ3B5RyNR	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:12m5B-omCiLsSQE	ENSB:12m5B-omCiLsSQE	ENSB:12m5B-omCiLsSQE	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:16zji574IyrBoa9	ENSB:16zji574IyrBoa9	ENSB:16zji574IyrBoa9	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSB:17yC36sCcQS5IdT	ENSB:17yC36sCcQS5IdT	ENSB:17yC36sCcQS5IdT	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:19rEzYpMibtDnFF	ENSB:19rEzYpMibtDnFF	ENSB:19rEzYpMibtDnFF	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSB:1Ctx3E-rre3nHI_	ENSB:1Ctx3E-rre3nHI_	ENSB:1Ctx3E-rre3nHI_	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:1EMtJQiJ6SEvQog	ENSB:1EMtJQiJ6SEvQog	ENSB:1EMtJQiJ6SEvQog	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSB:1FoIlhsQ9dsyUbe	ENSB:1FoIlhsQ9dsyUbe	ENSB:1FoIlhsQ9dsyUbe	protein_coding	2	1	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1
ENSB:1GOiT_dIjsboKN3	ENSB:1GOiT_dIjsboKN3	ENSB:1GOiT_dIjsboKN3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSB:1Jcf6z3lAfrBK2_	ENSB:1Jcf6z3lAfrBK2_	ENSB:1Jcf6z3lAfrBK2_	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:1KAVOyvF5NsFzzW	ENSB:1KAVOyvF5NsFzzW	ENSB:1KAVOyvF5NsFzzW	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:1KDGiQ3raoc0z8O	ENSB:1KDGiQ3raoc0z8O	ENSB:1KDGiQ3raoc0z8O	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSB:1KHAI7aEkuVLdAt	ENSB:1KHAI7aEkuVLdAt	ENSB:1KHAI7aEkuVLdAt	protein_coding	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2
ENSB:1LhgmTjtYtFmb_z	ENSB:1LhgmTjtYtFmb_z	ENSB:1LhgmTjtYtFmb_z	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSB:1M6Y09bx4JzzeGf	ENSB:1M6Y09bx4JzzeGf	ENSB:1M6Y09bx4JzzeGf	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:1OlqIRVlMRWAODJ	ENSB:1OlqIRVlMRWAODJ	ENSB:1OlqIRVlMRWAODJ	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:1OzJNziepiXlvfl	ENSB:1OzJNziepiXlvfl	ENSB:1OzJNziepiXlvfl	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSB:1PdEURzryybE48K	ENSB:1PdEURzryybE48K	ENSB:1PdEURzryybE48K	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
ENSB:1PwMwDp1bJRoGe6	ENSB:1PwMwDp1bJRoGe6	ENSB:1PwMwDp1bJRoGe6	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:1Qs5PUfGryzd53T	ENSB:1Qs5PUfGryzd53T	ENSB:1Qs5PUfGryzd53T	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
ENSB:1ViYFZJ4Pc-J6Oc	ENSB:1ViYFZJ4Pc-J6Oc	ENSB:1ViYFZJ4Pc-J6Oc	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:1WigDwBwikfqCuD	ENSB:1WigDwBwikfqCuD	ENSB:1WigDwBwikfqCuD	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ENSB:1WxMeqZTMHLAlDb	ENSB:1WxMeqZTMHLAlDb	ENSB:1WxMeqZTMHLAlDb	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:1XIOYUUxwGJH64j	ENSB:1XIOYUUxwGJH64j	ENSB:1XIOYUUxwGJH64j	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ENSB:1Xid0HSz0LOKrBp	ENSB:1Xid0HSz0LOKrBp	ENSB:1Xid0HSz0LOKrBp	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
ENSB:1YqfJpWOCOBnE0i	ENSB:1YqfJpWOCOBnE0i	ENSB:1YqfJpWOCOBnE0i	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:1ZB8stDp2Crf8DV	ENSB:1ZB8stDp2Crf8DV	ENSB:1ZB8stDp2Crf8DV	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:1dg6CO4qvq98Q2u	ENSB:1dg6CO4qvq98Q2u	ENSB:1dg6CO4qvq98Q2u	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:1fESlVo39uiuxAd	ENSB:1fESlVo39uiuxAd	ENSB:1fESlVo39uiuxAd	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:1fo_BeFDBecKspL	ENSB:1fo_BeFDBecKspL	ENSB:1fo_BeFDBecKspL	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:1fxSPnhLI2VpdHJ	ENSB:1fxSPnhLI2VpdHJ	ENSB:1fxSPnhLI2VpdHJ	protein_coding	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
ENSB:1hi8_ExGsduxknU	ENSB:1hi8_ExGsduxknU	ENSB:1hi8_ExGsduxknU	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
ENSB:1inET_k593bxMEn	ENSB:1inET_k593bxMEn	ENSB:1inET_k593bxMEn	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:1lsbIgNQBgKyp_m	ENSB:1lsbIgNQBgKyp_m	ENSB:1lsbIgNQBgKyp_m	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:1o6iviZNWM7srTM	ENSB:1o6iviZNWM7srTM	ENSB:1o6iviZNWM7srTM	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:1tmP4v7IScg66e4	ENSB:1tmP4v7IScg66e4	ENSB:1tmP4v7IScg66e4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSB:1wnR9W2FrjsNeei	ENSB:1wnR9W2FrjsNeei	ENSB:1wnR9W2FrjsNeei	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:1ztKFoydGCwX7LB	ENSB:1ztKFoydGCwX7LB	ENSB:1ztKFoydGCwX7LB	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:1zysKgQk45LzxJA	ENSB:1zysKgQk45LzxJA	ENSB:1zysKgQk45LzxJA	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ENSB:2-JHvA9Mmfw-vW-	ENSB:2-JHvA9Mmfw-vW-	ENSB:2-JHvA9Mmfw-vW-	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ENSB:21IZxq6mb4CgbN3	ENSB:21IZxq6mb4CgbN3	ENSB:21IZxq6mb4CgbN3	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
